t [s],Q [rad],W [rad/s],A [rad/s^2],P_dot [m/s],P_ddot [m/s^2]
0.40999999999999104,"-0.3694702161475894,1.548239404680098","-0.3890035386087787,0.7262640921987847","-0.22333315149932492,0.2604583021465123","-0.030653373314029047,0.2651710668417771","-0.09075870745829762,-0.15696877179921082"
0.4199999999999908,"-0.37733770340556455,1.5628622976756696","-0.3933743628987586,0.7311446497785806","-0.21854121449899605,0.24402787898979678","-0.034771011352347794,0.2687876316737791","-0.08711081408656692,-0.15552347254546758"
0.4299999999999906,"-0.38529084543029507,1.5775764816841211","-0.3976571012365259,0.735709200422577","-0.21413691688836628,0.22822753219981878","-0.038985179182740234,0.2722674132768281","-0.083595554234066,-0.15411143411442543"
0.4399999999999904,"-0.3933280327668739,1.5923758769901126","-0.40185936682893963,0.7399697652995717","-0.2101132796206849,0.2130282438497352","-0.04328984444229484,0.2756102335463725","-0.0802111127836429,-0.15273058247463842"
0.4499999999999902,"-0.40144780559625726,1.6072546327742998","-0.40598864146916924,0.7439377892093645","-0.20646373201148022,0.198401195489638","-0.04767893559183969,0.2788161166250195","-0.07695566184511257,-0.15137883065025023"
0.45999999999999,"-0.409648851290247,1.6222071156952753","-0.4100522846994866,0.7476241460487707","-0.20318216151586863,0.18431784197031362","-0.052146351568928176,0.28188529224130093","-0.07382737921809712,-0.15005407488404046"
0.46999999999998976,"-0.4179300021675546,1.6372278986038247","-0.4140575438653802,0.7510391454274727","-0.20026295829467808,0.1707499689350973","-0.05668597073817665,0.2848181985698552","-0.07082446523897268,-0.14875419014163357"
0.47999999999998955,"-0.42629023346699757,1.652311749406625","-0.41801156497214864,0.7541925401400194","-0.1977010553384222,0.15766973562733555","-0.0612916591512605,0.2876154846690315","-0.06794515816121251,-0.14747702494892892"
0.48999999999998933,"-0.43472866155238876,1.6674536200912502","-0.42192140426956004,0.7570935342312546","-0.1954919648705713,0.14504970456176106","-0.06595727812785049,0.29027801254985364","-0.06518774822888128,-0.1462203955444372"
0.4999999999999891,"-0.4432445423624581,1.682648635919658","-0.425794040503466,0.7597507914203904","-0.19363181169529575,0.13286285945678725","-0.07067669116754306,0.2928068589280739","-0.06255059059408494,-0.1449820793188695"
0.5099999999999889,"-0.45183727011817554,1.6978920847931296","-0.4296363877858717,0.7621724436735738","-0.1921173641202879,0.12108261265917272","-0.07544377020102477,0.29520331670889","-0.060032117210519945,-0.14375980751993678"
0.5199999999999887,"-0.4605063762991033,1.7131794067878883","-0.4334553090463897,0.7643660997379358","-0.1909460630258983,0.10968280321809777","-0.08025240118730072,0.2974688962518027","-0.0576308478520607,-0.1425512571761136"
0.5299999999999885,"-0.4692515288998768,1.7285061838572817","-0.43725763003867585,0.7663388534696781","-0.19011604961430748,0.09863768658711636","-0.08509648906172369,0.2996053264609393","-0.055345400378062924,-0.1413540421960553"
0.5399999999999883,"-0.4780725319775836,1.7438681296934124","-0.44105015388533747,0.7680972918065289","-0.18962619233308037,0.08792191684253746","-0.08996996203748146,0.3016145557441685","-0.053174500371255,-0.140165703588602"
0.549999999999988,"-0.4869693255006593,1.7592610797384174","-0.4448396761537874,0.7696475022502464","-0.18947611342249615,0.07751052218587691","-0.09486677526089507,0.30349875288229494","-0.05111699026485054,-0.13898369873553978"
0.5599999999999878,"-0.49594198550993623,1.7746809813331779","-0.4486330004638448,0.7709950797380242","-0.18966621550287222,0.0673788743888892","-0.09978091381829124,0.30526030784765507","-0.04917183806694749,-0.137805389641131"
0.5699999999999876,"-0.5049907246026478,1.7901238839890397","-0.4524369546355806,0.7721451327930942","-0.190197708586788,0.05750265275349979","-0.10470639508944116,0.3069018326095622","-0.04733814578797252,-0.13662803007108204"
0.5799999999999874,"-0.5141158927505033,1.8055859297661287","-0.45625840739277196,0.7731022888544503","-0.19107263785957013,0.04785780306780877","-0.10963727043960944,0.30842616196210804","-0.045615157671268614,-0.13544875147502086"
